userName,score,at,content
Hengky Leon,5,2023-10-12 08:59:11,Sempat error namun respon cepat dari playstore dan customer service membuat gojek saya bisa kembali digunakan
Andi Lala,1,2023-10-12 08:41:16,paylayer Udeh setahun daftar tapi belum juga ada kabar ACC atau tidak payah
Aris Priatno,5,2023-10-12 08:40:57,"Mangtabss,"
Abdilah Nadesul,5,2023-10-12 08:26:37,cepat sampai
Rahmat Mulyana,5,2023-10-12 08:26:33,Mana uang saya isi pulsa tidak masuk tapi sald gopay kepotong!!!!!
Nita Siti Yulianita,4,2023-10-12 08:14:36,"Kenapa sekarang suka tiba2 hang jadi harus tutup aplikasi, mau order jadi lama krn sering hang.. tolong diperbaiki sistemnya"
yudhi lesmana,5,2023-10-12 08:14:32,Mantap
Repi Jueli,5,2023-10-12 08:12:46,tepat waktu
Dhea Mariska,5,2023-10-12 08:09:13,bagus
muhammad noor,1,2023-10-12 08:07:22,"Semenjak update, aplikasi sering error"
M,5,2023-10-12 08:05:03,Ok
Sambo Well,5,2023-10-12 08:04:52,Aplikasi rekomendasi banget buat keadaan darurat
Andre Supriyadiningrat,2,2023-10-12 07:57:24,Udah jarang promo gofood nya mending apk sebelah banyak promo
Evan Rayyan,1,2023-10-12 07:51:58,"parah,, aplikasi yg sediain promo diskon , tp karna keseringan di pake di curigain hal ga wajar .. buat apa di pake kalo ga dapet2 promo"
Lovyana Cornelia,1,2023-10-12 07:49:10,Saya mau hapus aku permanen selalu gak bisa padahal gak ada cicilan atau apapun gmna mau lapornya gak ada respon juga
Arisiahideng,3,2023-10-12 07:46:23,Udh masukin Imel masih aja ga bisa gmna sih
zainul fata,5,2023-10-12 07:45:22,Baik-baik drivernya
Basri koto Basri,2,2023-10-12 07:34:09,Udah kurang bagus gojek Gak seperti yg dulu gojek
pandi fadil,5,2023-10-12 07:20:10,Jos gandos
Taufiq Hidayat,5,2023-10-12 07:20:10,Sangat membantu utk sehari hari
Anoind Anoind,1,2023-10-12 07:14:56,"Biaya aplikasi 4000 minta cs, dapat 20% dari resto plus 1000 nikmati saja goride mu, pantesan drivermu dan partnermu pada ngeluh sepi order"
Irma Juani,5,2023-10-12 07:12:57,Verry good👍🏻👍🏻🌹
Januar Lucky,2,2023-10-12 07:11:48,"Aplikasi buffering parah, padahal kecepatan internet bagus"
Lanang Black,5,2023-10-12 07:00:03,Terima kasih gojek sd meringankan transportasi untuk masyarakat bnyak untuk free atau diskon lebih diutamakan donk untuk menengah ke awan bisa menikmati terus transportasi gojeknya
Toko Arduino Semarang,5,2023-10-12 06:52:51,Dengan gojek saya mudah mendapatkan transportasi
vial work,1,2023-10-12 06:52:22,Biaya layanan makin mahal ja beli gofud di bwah 50k kena 4.000 kalu diatas 50k bisa 6.000 - 8.000
Mas Yasin,5,2023-10-12 06:52:15,Mantaap
Meva febrian,3,2023-10-12 06:49:29,kok aplikasi nya eror ya sekarang lemot mau pesen go ride atau go food juga susah tolong di perbaiki dong
FGZ 2.0,2,2023-10-12 06:49:01,"Tolong ini kenapa akun saya tidak bisa pakai voucher, udah mau beli makanan gak ada tampilan voucher nya padahal sebelum nya gak gitu, saya cobain buat akun baru sama aja gak ada tampilan voucher nya, ini emang saya gak dikasi pake voucher apa emang dari sananya, tolong di perbaiki"
Aprilia Putri.K.N,1,2023-10-12 06:46:14,Sering terjadi lag atau jaringan kurang stabil padahal juga buat buka lainnya lancar aja Gojek sekarang menyusahkan lemott banget kalah sama akun sebelah tuhh
PeiPei Travel2,1,2023-10-12 06:32:51,Paylater tidak bs digunakan percuma ada limit.. Sebelum nya ga begini .. Maklum karya anak ban^sat
Hernih,5,2023-10-12 06:25:39,Pokok nya mantap
Yessica Gultom,5,2023-10-12 06:22:50,mantepppp
Inova mahardika,1,2023-10-12 06:21:33,Saya masuk gojek gak bisa bisa payah sekali aplikasi nya skrg
Johan Armendo,5,2023-10-12 06:12:23,Mudah simpel dan bnyak promo nya
Rina Wahyuningrum,5,2023-10-12 06:10:14,Loplop bgttt
Roni Natanael,5,2023-10-12 05:59:01,saya senang menggunakan apk gojek
Adek Aja,1,2023-10-12 05:58:01,Kecewa bgt !!! Hbs d upgrade mlh g dpt limit gopaylater. Sebeelllll. Auto pndh aplikasi sblh
Donny D'Brito,1,2023-10-12 05:49:05,"Hari ini saya pesan Go-Jek cuman 1 kali kok datangnya driver 2 ya. Terus drivernya di ganti"" sampai harus menunggu hampir 20 menit. Tolonglah di perbaiki lagi aplikasinya ya."
Daud Pirdaus,5,2023-10-12 05:42:13,ok
fonzy dezga12,4,2023-10-12 05:30:34,Kak gopaylaternya kok ngga bisa dicicil di aplikasi sekarang
ROBBY ROBBY,5,2023-10-12 05:27:45,Mantep gojek nya
farid toejoeh,5,2023-10-12 05:23:09,good app
tika amelia,5,2023-10-12 05:18:34,Pelayanan Lbh bagus sekarang ya dulu rada lelet
Monicha Claudine,5,2023-10-12 05:16:42,Good
Wahyu Slamet,1,2023-10-12 05:14:17,"Lo kira gue tinggal di pelosok perdesaan yg susah sinyal? Gue scroll ig dan wa lancar, emang dasar gojek nya aja update² ga jelas, bug bukannya di perbaiki malah custumer yg di suruh cek internet. Jelas jelas dari APK nya. Beberapa Kalu sudah forced close mulu ni apk. Pindah ke grab aja deh. Lama lama rugi waktu gini terus mah. Mana terlanjur top up lagi. Tau ribet gini ga bakal gue top up."
Gilang Ramadhan,5,2023-10-12 05:14:03,Sangat seru dan asik
Ranisa Gy,1,2023-10-12 05:10:38,Terlalu banyak biaya lainnya riba
ferry mardian,5,2023-10-12 05:00:33,Good Jobs...👍👌🙏
Taufik Maulana,1,2023-10-12 04:54:31,"Padahal driver Gojek nya sendiri,tapi masih saja tidak disetujui Gopaylater dan Gopaypinjam.Perusahaan memanfaatkan driver untuk kepentingan bisnis saja,namun driver tidak dapat dibantu atau ditolong oleh perusahaan.sadeeesss"
Mei Widya M,1,2023-10-12 04:53:46,"Saya ubah dri bintang 5 ke bintang 1. Jelek banget aplikasinya setelah 2x di perbaharui. Ngelag mulu sampai not responding dan kepental keluar, ngescroll dikit lag lagi 😑😑😑"
Achmad Fatan,5,2023-10-12 04:53:33,Nice
M Fiki Ardiansyah,5,2023-10-12 04:52:47,Harapnya bisa selalu memberikan terbaik dan selalu berinovasi ya gojek. Apalagi diperbanyak promonya
Meinar Decyana Kostaman,5,2023-10-12 04:45:53,Pakai gojek segalanya jadi mudah & cepat.
Amalia 11,5,2023-10-12 04:43:29,"kecewa sekarang set lokasi nya ngawur, masa jalannya muter² buat ongkos jd tambah mahal"
Nova Estu Wandira,2,2023-10-12 04:43:16,"Gatau kenapa gojek skrg aplikasinya sering bgt crush, sebel bgt lg pesen makan tiba tiba aplikasinya crush 😭😭"
Fahmi Nurdiansyah,1,2023-10-12 04:41:31,"Saya sdh lama pake gojek, tp baru brp bln trakhir ini kalau pesan gofood sampenya lama bgt pernah 1 jam (1 mie ayam) resto dekat, pas sampe sudah dingin, tanya driver jawabnya ""pesanannya baru masuk ke saya"". Dan kesekian kalinya saya tanya beberapa driver ternyata khusus untuk pesanan gofood skrg terpecah untuk drivernya ada yg miceng dan regular, Saya tidak ngerti spesifiknya dan drivernya curhat sejak sistem sekarang order susah dan suka ada gesekan antar driver."
Abdul Manaf,5,2023-10-12 04:40:36,Ok bgt
Wenny Puteri,2,2023-10-12 04:32:06,"Sayang bgt sebenernya sama gojek,, tapi enggak sama fitur gopaylater yg skr, limit ada besar tapi gak bisa digunakan, buat apa dikasih limit.. mending di nolkan aja limitnya kalau gak bisa dipakai, heraan gak"
ahmad jaelani,4,2023-10-12 04:30:38,Good
Ahmad Fulan,1,2023-10-12 04:22:59,"Update terbaru ini sungguh membantu sekali untuk tidak terlalu lama membuka aplikasi. Karena untuk berhemat di aplikasi ini butuh kesabaran ekstra. Fitur yang begitu canggih, jauh dari kata sederhana."
Aulina Famala,5,2023-10-12 04:20:48,"Banyak pembaharuan, sudah pas"
Valentino Gabriel K,2,2023-10-12 04:19:05,Ini aplikasi kebanyakan error ya? Aplikasi enggak merespon terus keterangannya.
Meylazyahrani Putri,2,2023-10-12 04:16:33,knp gabisa download gojek ya?
papa baim,1,2023-10-12 04:15:59,"GK-91-46956763 mohon di suspend akun yg suka order cansel , makasih, merusak akun driver kami aja"
Bambang Harianto,5,2023-10-12 04:14:55,"Mantap, sangat membantu aktivitas"
Sigit AfraNayla,5,2023-10-12 04:11:38,Ok bngt
cu akhian,2,2023-10-12 04:07:39,Ini aplikasi gojek kenapa yaa Habis diperbarui hp jd eror Buka mp3 sendiri Hp tiba² jadi panas
Dandi Fonna Saputra,5,2023-10-12 04:04:17,"Udah jarang ngasih diskon yang besar lagi, mahalll"
Rotondum Aceh Channel,5,2023-10-12 03:54:24,Banyak diskon
Marthinus Prasetya,5,2023-10-12 03:52:58,Ok
rabbit Sweetir,1,2023-10-12 03:52:15,"sumpah makin lama gak makin bagus malah makin begini, estimasi gofood udah lama banget 1 jam, udah 1 jam di tambahin lagi estimasi buat cari driver 20 mnt. UDAH GITU LANGSUNG DI BATALIN OTOMATIS LAGI ORDERNYA. GIMANA SI"
Askia Lia,5,2023-10-12 03:51:36,Sangat memuaskan
Arbainah Arba,3,2023-10-12 03:49:49,"Makin di uprage makin aneh di apk sering nge lag,tulisan pesanan masih dbkin eh tau2nya mamang drivernya udah djalan jadi kna omelan deh customer pdhal salah apk nya,,masa jatuh tempo tgl 1 bulan depan,malah ditagih tgl 15 dari awal pemakaian limit? .mana telp2 mulu pihak sana nya pdhal jatuh tempo masih lama"
Diki Koswara,5,2023-10-12 03:41:22,Good
Nur Ozy,5,2023-10-12 03:40:09,Aplikasi gak ribet dan mudah sekali
Yusabillah Alfansyach,3,2023-10-12 03:37:12,"Ini gimana yah aplikasi terbaru malah suka ngefrezze dan eror mohon perbaikannya gojek, dan mohon di kembalikan ke awal untuk tampilan gosend biar saya bisa kembali kirim barang dari jakarta - untuk yang di luar kota... jadi kacau aplikasinya"
Putri Sofyan,5,2023-10-12 03:32:45,Muantap broo
Hapsari Puspita Ningrum,1,2023-10-12 03:26:48,"Min, apknya masih sering ngefreeze lho ini. Padahal sudah sempet install/uninstall, izin aplikasi dari settingan. Kenapa ya. Jaringan inet juga stabil. Buka apk lain ngga ada masalah. Jangan nyalahin jaringan inet dong min, tp perbaiki apknya."
Bee,1,2023-10-12 03:24:54,MENDING GAUSAH ADA MODE HEMAT DRIVER NYA KURANG SOPAN DAN SERING MINTA UANG LEBIH SANGAT TIDAK RAMAH
ホルスの王,1,2023-10-12 03:24:15,"Jaketnya gojek helmnya maxim, mana bau lagi"
Eric Christopher Jacinto Husin,1,2023-10-12 03:20:45,"Dari Go Paylater, skrg Gopay Pinjam yg lagi-lagi ditolak dimana keterangannya bisa mengajukan kembali di bulan Oktober 2024??????????? Apa2an ini ngerjain pelanggan dgn spam telepon promo Gopay Pinjam kalo ujung2nya ditolak pengajuan & baru bisa mengajukan kembali di tahun depan????? 👎👎👎👎👎👎👎👎👎👎👎👎"
Anita Rahayu,5,2023-10-12 03:14:20,"Layanan sangat tanggap dan memuaskan. Puas dengan gojek. Bepergian,pesen makanan dan antar paket smua bisa"
Yulianti Sulaiman,1,2023-10-12 03:11:26,Knp gopaylater cicil jd tdk bs digunakan kmbli pdhl tagihan udh lunas smua... Jd males skrg pke gojek paylater cicil g bs dipakai n gopaylater yg blnn telat 3hri dendany 30rb klo telat lg lwt 5hari nmbh lg jd 50rb
Daniel Putrasikumbang,1,2023-10-12 03:08:37,"Parah bikin malu mau bayar gha bisa,saldo ada,masak di suruh masuk ke aplikasi,biasanya langsung pilih bayar dan selesai,sekarang gojek gha jelas,orang kita mau bayar malah di alihkan ke play store trus buka aplikasinya,trus jadi kayak orang tolol,...!gha jelas mau ngapai,orang kita mau bayar malah bertelel2"
Lastri,3,2023-10-12 02:59:01,Dah hampir 2 Minggu ga bisa buka apl ini...ga tau knapa...
Topan Pasta,2,2023-10-12 02:56:18,sudah biasa
Evita Roshiana,1,2023-10-12 02:47:27,Kendala tidak dapat hapus akun
Desta Jebe,1,2023-10-12 02:45:19,"Gak bisa transfer, gejelas banget sumpah Padahal akun gopay sudah di upgrade"
Fifi Kartika,5,2023-10-12 02:44:50,karya anak bangsa terkeren
Nanang Sunarya,1,2023-10-12 02:38:52,Parah gopayleter sayah pinjam 39rb.belum sebulan udah kena denda jadi 99rb.lagian gk bisa kirim uang harus wifi. Data sendiri gk pungsit parah parah
Pengguna Google,3,2023-10-12 02:32:13,Biaya pelayanannya sekarang banyak banget. Ongkir go food juga naik gak ada promo lagi
Umi Yanty,4,2023-10-12 02:29:32,"Sebelum nya bagus mmpermudah aktifitas,setelah di update malah gak bisa kebuka...menu nya juga membingungkan sekaliiiii,dan juga tiba2 keluar sendiri dr aplikasi"
Kadek Ariasa,5,2023-10-12 02:14:11,Ok
Irwan Agc,1,2023-10-12 02:12:47,Makin sini makan jelek setiap transaksi tidak ada internet terus padahal pakai YouTube dan game lancar aja malah keceng tapi pakai aplikasi ini makin hancur
Abadi Aja,2,2023-10-12 02:11:08,Eyetapibez
Reni Nurani,5,2023-10-12 02:08:08,"Driver ramah,banyak voucer juga"
Emil Al Fikri,5,2023-10-12 02:07:55,Asw lah
Ruddy Septiawan,1,2023-10-12 02:06:07,"ga ad promo, akun mlh sakit"
Wildana Mustafa,5,2023-10-12 01:57:29,Memudahkan sy tuk pergi2😁😁😁
Ahmad Bahrun,4,2023-10-12 01:53:45,Bagus melayani
Muhammad Ikmal,5,2023-10-12 01:53:05,(｀・ω・´)(っ'-')╮=͟͟͞͞💌💪('ω'💪)👏( 'ω' )👏( 'ω' )(눈‸눈)(┛✧Д✧))┛(☞ ͡ ͡° ͜ ʖ ͡ ͡°)☞ꉂ(ˊᗜˋ*)♡👏( 'ω' )👏( 'ω' )✺◟( ͡° ͜ʖ ͡°)◞✺💪('ω'💪)(っ'-')╮=͟͟͞͞💌👏( 'ω' )👏( 'ω' )٩( 💢•̀ з•́)وᐠ( ᐛ )ᐟ(っ'-')╮=͟͟͞͞💌ᕦ( ᐛ )ᕡᐠ( ᐛ )ᐟ✺◟( ͡° ͜ʖ ͡°)◞✺ᕦ( ᐛ )ᕡᕦ( ᐛ )ᕡ(┛✧Д✧))┛✺◟( ͡° ͜ʖ ͡°)◞✺ᕕ( ᐛ )ᕗᐠ( ᐛ )ᐟᕦ( ᐛ )ᕡᕦ( ᐛ )ᕡ٩( ᐛ )( ᐖ )۶(っ'-')╮=͟͟͞͞💌(O_O)ᕦ( ᐛ )ᕡᐠ( ᐛ )ᐟᐠ( ᐛ )ᐟᐠ( ᐛ )ᐟᕦ( ᐛ )ᕡᕦ( ᐛ )ᕡ٩( 💢•̀ з•́)و٩( 💢•̀ з•́)و(∩´∀`∩)💕(○｀д´)ﾉｼSTOP!✧(｡•̀ᴗ-)✧✧(｡•̀ᴗ-)✧👏( 'ω' )👏( 'ω' )ᕕ( ՞ ᗜ ՞ )ᕗ٩( ᐛ )( ᐖ )۶✺◟( ͡° ͜ʖ ͡°)◞✺ᕕ( ᐛ )ᕗᐠ( ᐛ )ᐟᕦ(
Elis Yuliana,5,2023-10-12 01:50:39,Sangat membantu disaat mager
Jundi Ch.,2,2023-10-12 01:36:02,Aplikasi force close dengan sendirinya. Terkadang freeze dengan sendirinya saat mlakukan pemesanan. Sudah reinstall sama aja . Hp saya Samsung M14 5G mampu menahan UX terburuk shopee kok ini gojek malah kocak ngefreeze. Mohon di optimalkan. Padahal sekarang promonya mantap banget. Sudah setara shopeefood lah ya
didi haryadi,5,2023-10-12 01:30:02,Knapa setiap mau tranper aplikasinya selalu berhenti mohon di bantu
Ione Iwee,5,2023-10-12 01:13:04,Pertahankan..dan buat lebih user friendly lagi
Mahlul Irfan,5,2023-10-12 01:12:51,Mudah kirim sesuatu untuk anak dipondok
Edi Kustomo,2,2023-10-12 01:08:09,"Notifikasi pinjaman muncul terus, setelah di kompirmasi, nomer anda sudah terdaftar, entah sampe kapan bisa di acc pinjaman."
Rudi Hartono,1,2023-10-12 01:07:40,"Limit gopay later g bisa di gunakan,fayah hoax limit 500 tapi g bisa dipakai.udah guah un installl,hoax gopay pinjamnya"
Andi Rifai,5,2023-10-12 01:03:36,Feel like to want order more and more because its faster.
Naya Laisila,1,2023-10-12 00:57:35,"Driver ya parah² sekarang...suka ngeyel, gak bisa jaga kebersihan atribut seperti helm yg kadang bau banyak bulu kucing, jaket juga bau. KL milih rute Seenaknya sendiri aja. Tolong donk lebih di perhatikan LG untuk driver. Terimakasih 🙏🙏"
Mira Za,3,2023-10-12 00:57:24,"makin di updet makin gk beres, isi pulsa gk bisa lagi pakai payleter, malah di arahin ke saldo gopay nya"
Ayu Hidayah,5,2023-10-12 00:50:45,Senang banyak vouchernya
Edi Hartanto,5,2023-10-12 00:43:22,👍🏻👍🏻👍🏻👍🏻😅
Boris Boker,5,2023-10-12 00:42:08,God job
Haidar Ramzy,5,2023-10-12 00:30:22,"tolong di map nya driver pindah"" ga jelas"
khoiriah husein,5,2023-10-12 00:28:59,Baguss
Tamvan Dan Berani,1,2023-10-12 00:19:40,"Makin kesini promo untuk goride mulai gak ada.. semakin mahal,, fix gue akan pindah ke maxim saja..."
NANANG ARIBOWO,5,2023-10-12 00:18:56,Good
Fortune Fortune,5,2023-10-12 00:17:15,Sangat bagus pelayanan drivernya.
Rustandi Ramadhan,5,2023-10-12 00:16:35,"Mudah digunakan dan semakin bervariasi menu makanan, minuman, dan juga promonya. Terima kasih"
Ahmad Dorojatni,5,2023-10-12 00:16:28,T o p b g t . . .
Ade Mulyana,5,2023-10-12 00:12:26,Cepat dan efisien
Taufik Firmansyah,1,2023-10-12 00:09:07,Rating saya tiba-tiba turun
Intan Triananda,2,2023-10-12 00:09:03,"curang, ms akunku ngga wangi. diskon yang pada dapet di akunku ngga ada 👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻"
ZIZA,2,2023-10-12 00:06:08,Gak pernah dapat promo besar
Iwana Iwana,5,2023-10-12 00:03:06,Good
Nabillana.A Veren.A,3,2023-10-11 23:55:10,"Tolong untuk Gojek perbanyak voucher dan diskon untuk pelajar, terimakasih"
Prima Tutorial Chanel,5,2023-10-11 23:33:20,Paten pokoknya
nur ahmad,5,2023-10-11 23:28:12,Sangat membantu pelayanan sopan dan tepat waktu
Titing Rukmini,5,2023-10-11 23:27:39,Jadi mudah bisa sedang dalam perjalanan memerlukan bantuan jemputan
Kiki Amelia Devi,1,2023-10-11 23:14:29,Aplikasi sering error saat digunakan
Ecih Sukaesih,5,2023-10-11 23:12:10,ok
Juli Ansyah,5,2023-10-11 23:05:22,Ok
Deasy Wenas,3,2023-10-11 22:52:45,Sudah mau jalan 2 minggu aplikasinya sering banget lag
Faisal Nurdiansyah,5,2023-10-11 22:51:53,Apk yang sangat membantu
Sheila A.,5,2023-10-11 22:42:20,Keren 👍
MAA MotoVlog,1,2023-10-11 22:39:49,Aplikasi stuck mlu ... Gjls bner abis update mlh gni .. Dh gt kl pagi susah bgt nyri driver pdhl bnyk driver di sekitar .. Aneh bat lau mkin ksni
Angger Gilang,1,2023-10-11 22:06:18,Kalo bisa setiap akun bisa dapet promo yang sama
Alga Setyawan Yody,5,2023-10-11 21:39:02,BEST.
Leo Patra,5,2023-10-11 20:52:16,Pelayanan yang sangat bermanfaat
EXCUSE ME,5,2023-10-11 20:40:02,jarang dapet voucher
saptono sap,1,2023-10-11 20:20:47,"Saya pesan gofood sudah 1,5 jam, tiba2 di cancel suruh order lagi Sempat ada 2 driver yg muncul menuju resto"
Haditama Mochammad Isya,3,2023-10-11 19:08:46,"BANYAK BUG, SERING BERENTI SENDIRI APK NYA, GABISA BUAT PAYMENT, PDHL DATA NYALA KUOTA JG MASIH BANYAK BANGET 65GB, WIFI UDAH BAYAR LUNAS. JADI JELEK KAH?"
Mety Ginayah,5,2023-10-11 19:06:00,Sangat mudah digunakan & banyak promo2 lainnya
Wandi Swndi,1,2023-10-11 19:02:50,Nyariin drivernya lama amatt
Muhammad Ismail,5,2023-10-11 18:40:52,Kemudahan setiap perjalanan
Ride HD,1,2023-10-11 18:27:32,Semakin diupgrade semakin bobrok fiturnya
kaanal liska,5,2023-10-11 18:15:16,Sangat bermanfaat
MJR Wa,4,2023-10-11 17:10:17,"Ngasih informasi update terbaru apl-nya gausah lebay Dev, to the point aja updatenya apa, fitur terbarunya dimana. Gak penting quotes², gabutuh kata² PxL yg gak njelasin poin penting dri update apl-nya."
joesua joesue,5,2023-10-11 17:01:41,Driver yang ramah ramah
Amin Jakfar,1,2023-10-11 16:46:20,Buat transaksi pembayaran gak bisa
Yogi GK,1,2023-10-11 16:44:41,Versi terbaru stuck terus
Achmad Haeruman,5,2023-10-11 16:32:05,Good
Iwan Permana,2,2023-10-11 15:56:38,update aplikasinya maksa....gajelas
Aditya Kusuma,5,2023-10-11 15:37:52,"Ini aplikasi kenapa sih? . Muter"" Mulu kek gak ada sinyal aja , buka aplikasi sebelah lancar jaya , aneh bet sumpah"
Joe Enk,2,2023-10-11 15:36:24,"gopaylater tidak bisa di gunakan sekarang,kenapa ya?"
Darmi Darmi,5,2023-10-11 15:35:18,mantapppp
Pengguna Google,2,2023-10-11 15:33:27,Tingkatkan terus
Yunus Subhanallah,1,2023-10-11 15:31:09,pesan gojek mahal banget biaya aplikasi nya
Maharmabi Dwi Perkasa,3,2023-10-11 15:15:55,"Setelah update aplikasi malah sering not responding apk nya, internet gaada masalah"
Riyan Anto,5,2023-10-11 15:13:29,Mantap & membantu
Misno Marsudi,5,2023-10-11 15:11:27,Aplikasi yang sangat membantu
Andreas Muljadi,5,2023-10-11 15:11:10,Makin kerennn ajah
Kiki Akbar reza Tanjung,5,2023-10-11 15:05:35,Ya Terima gojek
Dian Maytasari,5,2023-10-11 15:04:23,Terbaik !! Membantu disaat butuh makanan dgn cepat dan tidak masak !!
Roedi Poerwanto,5,2023-10-11 15:04:03,Belum ada pengalaman buruk menggunakan aplikasi ini
Meyiske Simanjuntak,1,2023-10-11 14:52:20,"Parah banget, top up gopay tapi uangnya entah kenapa mana saya anak kos, maaf saya uninstall, tolong lebih kedepannya"
Khalimatus Syarifah,5,2023-10-11 14:51:55,Manthab
Fani Nesya,1,2023-10-11 14:35:52,Apk sering ngelag susah
Edit Diveat,5,2023-10-11 14:33:53,Gk jelas kmna saldo y
Ruth Faidiban,5,2023-10-11 14:32:13,Verry good
Yanuar Siswanto,5,2023-10-11 14:30:55,Mantapppooollll
Deva Chandra Nurdiawan,4,2023-10-11 14:30:12,Mantab
Agus Jaul,1,2023-10-11 14:29:03,kirim uang ke bank mandiri tidak bisa.. sampai kapan perbaikan nya?
Robby Aja,5,2023-10-11 14:28:18,Sangat membantu cuma agak mahal sih
Erwita Viana Syarief,5,2023-10-11 14:28:04,sngt membantu
Tancenter Saputra,5,2023-10-11 14:23:34,Oke
Reynaldi FA,2,2023-10-11 14:18:06,"Lawak juga sih, mau upgrade gopay katanya data ga sesuai harus ke dukcapil. Padahal gw upgrade e wallet sebelah aman aja, langsung di acc malah."
hari namaku,5,2023-10-11 14:11:31,Mntappp
Endang Diah Lestari,5,2023-10-11 14:04:49,Cuss
Halimatus Shadiyah,5,2023-10-11 13:54:11,Sangat membantu
RYVIDEOGRAF,5,2023-10-11 13:52:38,Selalu jadi yang terbaik
Sigit Wiyono,1,2023-10-11 13:52:07,Eror gojek
Iqbal Hadil Fikri,1,2023-10-11 13:51:56,"Tambah ampas, paylater gabisa dipake, aplikasi lemot, beli kuota dibilang sukses dan kepotong, eh kuotanya ga masuk"
Dede Dede,5,2023-10-11 13:44:57,Mantap
Lydz.,1,2023-10-11 13:41:23,Knp harus update plus sih kata temen2 gw gopay ga harus verify make ktp ini ko harus make ktp? Pdhl lagi penting2nya harus tf mana gagal trs lagi verifynyaa
Rd.M.Muntaha Ridwan,3,2023-10-11 13:36:18,Kenapa menu Pilihan gopay later belum muncul.padahal tersedia limitnya.Kenapa belum bisa digunakan gopaylaternya?
Cahya Putri,1,2023-10-11 13:35:34,Luemoottt
Ahmad Sofyan,5,2023-10-11 13:29:09,"bagus, nyaman"
Kangen Kangenkmu,5,2023-10-11 13:23:15,Aplikasi gopay memang bgus memudahkan transfer ke sesama yg lain isi pulsa beli token listrik dan banyk lagi pkokny bgus
Erwan Taufiq,3,2023-10-11 13:20:40,"Khusus go food terasa mahal, setiap pesan kena biaya aplikasi Sekarang tak menarik lagi dan mengecewakan"
anni amin,5,2023-10-11 13:07:49,Banyak-banyakin harga promo ya
Sarip Udin,5,2023-10-11 13:03:30,Good job
Tomi Silalahi,5,2023-10-11 12:54:08,Nice app
Anisahnur Oktaviany,4,2023-10-11 12:48:07,"semenjak update ui dan service jd jelek bgt, suka hang hp gara2 apps ini, tidak menanggapi sehingga harus di force close terus"
Richard Ajahhh,3,2023-10-11 12:47:01,Ini kenapa history alamat pengiriman jadi hilang semua yah ? Mau kirim barang malah input alamat terus. Akun ku sudah anak sultan padahal. Tolong bantuannya
wahyu dewa,5,2023-10-11 12:42:17,Mantap
tezzar gufron hidayat,5,2023-10-11 12:29:32,Banyak membantu
Riki Ferdiansyah,1,2023-10-11 12:24:26,Golek tidak pernah memberikan keadilan pada mitra drivernya dan selalu membuat mitra drivernya mendErita
Mulyati,5,2023-10-11 12:23:18,Solusi dikala macet & blm punya kendaraan. Tp ya ongkos jg harus mnyesuaikan kantong
chandra erfayanto,1,2023-10-11 12:22:01,Sering pembaruan tapi makin jelek tiap buka aplikasi ngeleg loading lama parahhhhhhhhh
Andika Hadie putra,2,2023-10-11 12:12:10,"Sekarang aku turunin retingnya, karena gojek tidak mensuport lagi, tidak seperti dulu, melainkan kerjasama dengan pinjol, jadi hati"" Ya teman"" uh mengerikan 😱"
Sutarno Tarno,5,2023-10-11 12:10:07,Semoga jadi layanan yg terbaik
Cepot Cepot,5,2023-10-11 12:09:46,Bagus murah
arif sonjaya,5,2023-10-11 12:08:29,sukses selalu smoga snakin irit hehe
Aria J,1,2023-10-11 12:02:59,Link login gabisa dipake udh coba berbagai cara
Ewaldus Senarai,2,2023-10-11 12:01:37,"Akhir akhir ini sering freeze sendiri saat memesan. Sudah berulang kali, padahal koneksi saya aman saja dan hp tidak bermasalah."
Sondang Marihot Silitonga,5,2023-10-11 11:54:59,Dari awal di hp saya hanya aplikasi gojek. Yang pasti selama saya pakai gojek tidak pernah kecewa.
Irlan Danu,1,2023-10-11 11:41:26,Gojek masalah Mulu .. order sulit ..
Apri Yanto Saputra,3,2023-10-11 11:22:28,Go food plus tidak memuaskan banyak yang toko yang tidak go food plus
Deni Ajah,5,2023-10-11 11:18:55,ok
jawara juara,1,2023-10-11 11:17:42,beli roko via gomarket gk bisa payaaaahhh...
andi adiwinata,5,2023-10-11 11:07:52,keren
Jeff Aja,5,2023-10-11 10:54:34,Koq semakin tinggi XP nya diskon nya makin kecil ya
Elbarra Gifary B,1,2023-10-11 10:53:03,Drivernya gblk
Yudi Setiawan,5,2023-10-11 10:48:19,Mantafs
Barokah Barokah,1,2023-10-11 10:45:57,Katanya casback sd 50k d go pay pas bayar tagihan kok ga ada casback nya bohong ngentod
Hyauzan Savero,5,2023-10-11 10:43:03,Good
Yeni Awang,5,2023-10-11 10:37:31,Alhamdulillah pengemudi2 nya slm ini bekerjanya profesional. tmks
M.Putra Rasoky,1,2023-10-11 10:34:41,"Applaus yg meriah untuk aplikasi ini,yang memberikan potongan harga hanya Rp.1000 😂😂😂"
Nama Pengguna,2,2023-10-11 10:15:46,"Saya kasi bintang 2 gara2 gojeknya ikut2an jadi pinjol, gk suka jdinya. Gk amanah min 🙏🙏🙏🙏🙏"
Anto Sukses,5,2023-10-11 10:09:21,Amat membantu
